User ID,Sex,Age
11111,male,26
11112,female,59
11113,female,28
11114,female,52
11115,female,53
11116,female,39
11117,male,41
11118,male,34
11119,male,56
11120,male,40
11121,female,55
11122,male,51
11123,female,48
11124,male,20
11125,male,47
11126,male,50
11127,male,44
11128,female,30
11129,male,36
11130,female,37
11131,male,28
11132,female,29
11133,female,56
11134,female,45
11135,female,58
11136,female,48
11137,male,39
11138,female,46
11139,female,19
11140,female,36
11141,male,20
11142,male,28
11143,male,51
11144,male,46
11145,female,59
11146,female,59
11147,male,55
11148,female,48
11149,female,35
11150,female,46
11151,male,21
11152,female,20
11153,female,38
11154,male,26
11155,female,44
11156,male,36
11157,female,24
11158,female,56
11159,female,27
11160,male,28
11161,male,55
11162,female,24
11163,female,25
11164,male,55
11165,female,24
11166,male,28
11167,female,52
11168,female,22
11169,female,56
11170,male,44
11171,female,19
11172,male,28
11173,male,31
11174,male,35
11175,female,43
11176,female,25
11177,female,24
11178,female,41
11179,male,27
11180,female,57
11181,male,41
11182,female,46
11183,female,26
11184,male,50
11185,male,32
11186,female,30
11187,male,46
11188,male,47
11189,female,53
11190,male,56
11191,female,45
11192,female,37
11193,male,19
11194,female,40
11195,male,46
11196,male,34
11197,male,19
11198,female,39
11199,female,52
11200,female,46
11201,female,32
11202,female,34
11203,female,27
11204,female,49
11205,female,54
11206,female,30
11207,male,41
11208,male,54
11209,male,53
11210,female,45
11211,female,25
11212,male,32
11213,male,54
11214,female,58
11215,male,39
11216,female,30
11217,male,57
11218,male,35
11219,male,38
11220,female,56
11221,female,40
11222,female,28
11223,female,22
11224,female,28
11225,female,22
11226,female,45
11227,female,22
11228,male,19
11229,female,48
11230,male,59
11231,male,40
11232,male,52
11233,male,55
11234,male,36
11235,male,20
11236,female,56
11237,male,19
11238,male,47
11239,female,37
11240,female,41
11241,female,48
11242,female,52
11243,female,37
11244,male,19
11245,male,28
11246,female,57
11247,female,19
11248,male,28
11249,female,32
11250,female,39
11251,male,54
11252,male,21
11253,female,19
11254,male,27
11255,male,22
11256,female,56
11257,male,52
11258,female,40
11259,male,54
11260,female,56
11261,female,34
11262,male,54
11263,male,36
11264,female,27
11265,male,32
11266,male,53
11267,male,34
11268,male,44
11269,female,55
11270,male,19
11271,female,58
11272,female,20
11273,female,45
11274,male,26
11275,female,43
11276,female,21
11277,male,24
11278,male,23
11279,female,50
11280,male,55
11281,male,53
11282,male,28
11283,male,44
11284,female,45
11285,male,19
11286,female,54
11287,female,47
11288,male,55
11289,male,22
11290,male,55
11291,female,50
11292,male,37
11293,male,39
11294,female,27
11295,female,22
11296,female,57
11297,male,53
11298,female,44
11299,female,28
11300,female,44
11301,male,54
11302,female,31
11303,female,56
11304,female,47
11305,male,55
11306,female,39
11307,male,57
11308,male,43
11309,male,53
11310,female,48
11311,male,26
11312,male,27
11313,male,21
11314,male,45
11315,male,40
11316,male,28
11317,male,28
11318,female,21
11319,female,33
11320,male,40
11321,male,25
11322,male,38
11323,male,58
11324,female,31
11325,female,19
11326,female,54
11327,female,59
11328,male,25
11329,male,24
11330,male,22
11331,female,45
11332,female,42
11333,female,20
11334,female,44
11335,female,41
11336,female,56
11337,male,36
11338,female,34
11339,male,44
11340,female,55
11341,male,38
11342,male,48
11343,female,31
11344,female,57
11345,female,39
11346,male,50
11347,female,20
11348,female,26
11349,male,59
11350,male,43
11351,male,51
11352,male,28
11353,male,34
11354,female,50
11355,female,47
11356,female,41
11357,male,29
11358,female,56
11359,female,44
11360,male,48
11361,male,34
11362,male,45
11363,male,38
11364,female,30
11365,male,40
11366,male,31
11367,male,54
11368,male,32
11369,male,23
11370,male,24
11371,female,55
11372,male,22
11373,female,29
11374,female,55
11375,female,44
11376,female,51
11377,male,29
11378,female,32
11379,male,28
11380,male,52
11381,female,25
11382,male,57
11383,male,52
11384,male,39
11385,female,33
11386,female,47
11387,male,39
11388,male,53
11389,female,49
11390,female,32
11391,male,23
11392,female,46
11393,male,22
11394,female,49
11395,male,47
11396,male,29
11397,female,55
11398,female,21
11399,male,35
11400,female,24
11401,male,55
11402,female,44
11403,female,42
11404,male,45
11405,male,20
11406,female,53
11407,female,24
11408,female,27
11409,male,20
11410,female,22
11411,male,47
11412,female,45
11413,male,21
11414,male,19
11415,female,34
11416,female,46
11417,female,26
11418,female,30
11419,female,28
11420,female,45
11421,male,59
11422,female,25
11423,male,20
11424,female,35
11425,male,43
11426,female,21
11427,male,29
11428,male,43
11429,female,35
11430,female,55
11431,male,44
11432,male,57
11433,female,29
11434,male,30
11435,female,44
11436,male,48
11437,male,56
11438,male,31
11439,male,45
11440,female,47
11441,female,50
11442,female,59
11443,female,43
11444,male,22
11445,female,51
11446,male,45
11447,female,27
11448,male,52
11449,male,26
11450,female,30
11451,male,51
11452,male,36
11453,female,26
11454,female,30
11455,female,59
11456,male,49
11457,female,25
11458,male,40
11459,male,24
11460,male,59
11461,female,46
11462,male,27
11463,male,44
11464,female,56
11465,female,25
11466,male,37
11467,female,28
11468,male,50
11469,male,26
11470,female,40
11471,female,28
11472,male,23
11473,male,25
11474,male,32
11475,male,57
11476,male,28
11477,male,55
11478,male,50
11479,female,34
11480,female,32
11481,male,39
11482,female,21
11483,male,56
11484,male,50
11485,female,58
11486,male,40
11487,female,25
11488,male,35
11489,male,35
11490,female,55
11491,female,21
11492,female,35
11493,male,34
11494,female,58
11495,female,34
11496,male,47
11497,female,50
11498,female,42
11499,female,40
11500,male,48
11501,male,45
11502,male,48
11503,female,50
11504,female,33
11505,female,25
11506,female,37
11507,female,23
11508,female,36
11509,female,51
11510,female,40
11511,male,42
11512,female,42
11513,female,36
11514,male,28
11515,female,29
11516,female,41
11517,male,36
11518,female,20
11519,male,35
11520,female,41
11521,female,51
11522,male,20
11523,female,20
11524,male,26
11525,female,54
11526,female,56
11527,female,35
11528,female,24
11529,female,57
11530,female,31
11531,male,31
11532,male,38
11533,female,23
11534,female,49
11535,male,49
11536,male,43
11537,female,26
11538,male,26
11539,female,47
11540,female,25
11541,male,22
11542,female,49
11543,female,31
11544,female,26
11545,female,52
11546,male,39
11547,female,56
11548,male,22
11549,female,26
11550,female,41
11551,female,44
11552,male,52
11553,male,33
11554,male,23
11555,male,35
11556,female,57
11557,female,54
11558,male,29
11559,male,35
11560,male,20
11561,female,40
11562,male,46
11563,female,39
11564,male,55
11565,female,21
11566,female,23
11567,female,29
11568,female,51
11569,female,48
11570,female,41
11571,male,48
11572,male,37
11573,female,34
11574,female,22
11575,female,22
11576,male,46
11577,female,24
11578,female,57
11579,female,20
11580,male,38
11581,female,31
11582,female,20
11583,male,47
11584,male,30
11585,female,42
11586,male,52
11587,female,33
11588,female,27
11589,male,21
11590,male,43
11591,female,28
11592,female,46
11593,male,56
11594,female,33
11595,female,29
11596,male,59
11597,female,42
11598,female,34
11599,male,48
11600,female,54
11601,female,28
11602,male,44
11603,female,22
11604,female,34
11605,female,53
11606,male,49
11607,male,51
11608,male,50
11609,female,48
11610,female,38
11611,male,21
11612,male,30
11613,male,53
11614,male,51
11615,male,50
11616,male,47
11617,male,57
11618,male,36
11619,female,34
11620,male,59
11621,female,54
11622,female,21
11623,female,19
11624,female,21
11625,female,19
11626,female,44
11627,female,20
11628,female,54
11629,female,57
11630,female,33
11631,female,30
11632,male,50
11633,male,51
11634,male,49
11635,female,45
11636,male,52
11637,male,27
11638,male,31
11639,female,48
11640,female,43
11641,male,22
11642,female,31
11643,male,54
11644,female,35
11645,male,28
11646,male,31
11647,female,33
11648,female,48
11649,male,31
11650,female,35
11651,male,31
11652,male,25
11653,male,37
11654,male,19
11655,male,30
11656,female,37
11657,male,53
11658,female,31
11659,male,52
11660,male,38
11661,male,44
11662,male,24
11663,female,47
11664,female,48
11665,female,37
11666,female,52
11667,male,33
11668,male,54
11669,female,24
11670,male,19
11671,male,28
11672,male,59
11673,male,54
11674,female,48
11675,female,27
11676,male,57
11677,male,38
11678,male,33
11679,female,21
11680,male,52
11681,male,50
11682,female,25
11683,male,54
11684,male,33
11685,male,30
11686,female,49
11687,female,33
11688,female,28
11689,male,30
11690,female,29
11691,male,22
11692,female,43
11693,female,25
11694,male,52
11695,female,19
11696,male,27
11697,female,59
11698,female,36
11699,female,56
11700,male,50
11701,male,43
11702,female,37
11703,male,37
11704,female,54
11705,male,52
11706,male,50
11707,male,28
11708,female,27
11709,male,27
11710,male,57
11711,female,34
11712,male,30
11713,male,40
11714,female,36
11715,male,38
11716,male,55
11717,female,28
11718,male,20
11719,male,36
11720,male,23
11721,male,20
11722,female,44
11723,female,36
11724,female,39
11725,male,40
11726,male,51
11727,female,56
11728,male,24
11729,male,45
11730,female,30
11731,male,54
11732,male,32
11733,female,29
11734,female,43
11735,female,47
11736,female,30
11737,male,27
11738,male,47
11739,female,20
11740,male,39
11741,male,34
11742,male,35
11743,female,32
11744,female,39
11745,male,19
11746,male,53
11747,male,40
11748,female,56
11749,male,54
11750,male,31
11751,male,25
11752,male,36
11753,female,22
11754,male,39
11755,female,54
11756,female,27
11757,female,45
11758,male,36
11759,male,56
11760,male,29
11761,female,42
11762,female,52
11763,male,36
11764,male,34
11765,male,25
11766,female,33
11767,male,24
11768,female,19
11769,female,30
11770,female,33
11771,male,35
11772,female,37
11773,female,50
11774,female,27
11775,female,45
11776,male,34
11777,female,23
11778,male,35
11779,male,41
11780,male,28
11781,male,29
11782,male,40
11783,male,42
11784,male,54
11785,male,49
11786,female,33
11787,male,28
11788,female,41
11789,female,29
11790,male,19
11791,male,22
11792,male,21
11793,male,41
11794,female,30
11795,male,40
11796,female,58
11797,female,22
11798,female,42
11799,male,40
11800,female,55
11801,female,33
11802,male,19
11803,male,55
11804,female,48
11805,female,29
11806,female,22
11807,female,40
11808,male,57
11809,male,32
11810,male,30
11811,female,41
11812,female,52
11813,male,44
11814,male,47
11815,male,52
11816,male,31
